Hidden Layer Sizes,Activation Function,Learning Rate,Solver Algorithm,Max Iterations,Classification Accuracy,Training time
,,,,,0.43966421825813223,16.394376754760742
"(50,)",identity,0.001,adam,100,0.2602308499475341,5.35071325302124
"(50,)",identity,0.001,adam,200,0.26128016789087094,8.4285728931427
"(50,)",identity,0.001,adam,300,0.27177334732423925,4.058583974838257
"(50,)",identity,0.001,adam,400,0.2644281217208814,6.459874868392944
"(50,)",identity,0.001,adam,500,0.24134312696747115,4.419986963272095
"(50,)",identity,0.001,sgd,100,0.27492130115424973,6.720901966094971
"(50,)",identity,0.001,sgd,200,0.26862539349422876,12.233779191970825
"(50,)",identity,0.001,sgd,300,0.28226652675760755,10.914433002471924
"(50,)",identity,0.001,sgd,400,0.2654774396642183,11.946199178695679
"(50,)",identity,0.001,sgd,500,0.2654774396642183,8.495054006576538
"(50,)",identity,0.01,adam,100,0.26862539349422876,7.155112981796265
"(50,)",identity,0.01,adam,200,0.2728226652675761,6.513447999954224
"(50,)",identity,0.01,adam,300,0.2801678908709339,5.822443962097168
"(50,)",identity,0.01,adam,400,0.2696747114375656,7.592312812805176
"(50,)",identity,0.01,adam,500,0.22770199370409233,4.693244934082031
"(50,)",identity,0.01,sgd,100,0.2161594963273872,0.6458492279052734
"(50,)",identity,0.01,sgd,200,0.1731374606505771,0.6702699661254883
"(50,)",identity,0.01,sgd,300,0.1311647429171039,0.6311948299407959
"(50,)",identity,0.01,sgd,400,0.080797481636936,0.5821268558502197
"(50,)",identity,0.01,sgd,500,0.1311647429171039,0.6010429859161377
"(50,)",identity,0.1,adam,100,0.22560335781741866,2.8525502681732178
"(50,)",identity,0.1,adam,200,0.23399790136411333,3.569420099258423
"(50,)",identity,0.1,adam,300,0.27177334732423925,8.880839109420776
"(50,)",identity,0.1,adam,400,0.18572927597061908,2.5426440238952637
"(50,)",identity,0.1,adam,500,0.10283315844700944,1.9382121562957764
